nombre,biografia,oyentes,reproducciones,similares
Sllash & Doppe," <a href=""https://www.last.fm/music/Sllash+&+Doppe"">Read more on Last.fm</a>",29343,138136,"['San Pacho', 'BADDIES ONLY', 'Angelo Ferreri', 'Mark Knight', 'Ferreck Dawn']"
YTBS Nightcore," <a href=""https://www.last.fm/music/YTBS+Nightcore"">Read more on Last.fm</a>",5611,48391,"['Nightcore god', 'Into The Nightcore', 'Nightcore Dreams', 'Nightcore Hits', 'NightcoreChase']"
Nightmares on Wax,"Uno de los proyectos más longevos del Trip-Hop británico (desde 1988), Nightmares on Wax picante mezcla de Electro, Soul y Hip-Hop.

Nightmares On Wax es un proyecto que siempre ha intentado mantenerse fiel a un mismo estilo propio y que ha conseguido con bastante éxito. Esa mezcla entre bases de hip hop con toques de R&B visto desde el caleidoscopio que tiene por mente George Evelyn, le ha servido para marcar un sonido inconfundible que ha sabido explotar durante todo este tiempo con gran maestría.  <a href=""https://www.last.fm/music/Nightmares+on+Wax"">Read more on Last.fm</a>",1199560,22616227,"['Tosca', 'Thievery Corporation', 'Quantic', 'Kruder & Dorfmeister', 'Fila Brazillia']"
Gramophiles," <a href=""https://www.last.fm/music/Gramophiles"">Read more on Last.fm</a>",9301,39452,"['The Third Degree', 'Cuba Vista', 'Moderator', 'Pete Rodriguez', 'Maria Zamora Y Sus Machachos']"
Maurice West," <a href=""https://www.last.fm/music/Maurice+West"">Read more on Last.fm</a>",38933,273661,"['TWiiG', 'SaberZ', 'Kevu', 'BLK RSE', 'Tom & Jame']"
Jody Wisternoff," <a href=""https://www.last.fm/music/Jody+Wisternoff"">Read more on Last.fm</a>",144774,1412204,"['tagavaka', 'James Grant', 'Marsh', 'Durante', 'Braxton']"
Novalima,"NOVALIMA, es un grupo musical peruano que fusiona la música electrónica con la afroperuana. Nace en el año 2001 de la mente de cuatro músicos residentes en diferentes rincones del mundo. Ramón Pérez Prieto (Lima), Grimaldo Del Solar (Barcelona), Rafael Morales (Londres) y Carlos Li Carrillo (Hong Kong).

La música de NOVALIMA nace de influencias de percusiones afro-peruanas y latinas fusionadas con beats electrónicos de downtempo, dub, broken y house, fusión electrónica contemporánea de moda en las capitales musicales del mundo. <a href=""https://www.last.fm/music/Novalima"">Read more on Last.fm</a>",67054,506553,"['Thornato', 'La Yegros', 'Susana Baca', 'Chicha Libre', 'Sidestepper']"
Oliver Heldens,"El holandés Oliver Heldens era apenas un joven de 17 años de edad cuando el sello discográfico más grande en la industria de la Música Electrónica, Spinnin ' Records firmo con el un contrato. . 


Twitter: https://twitter.com/OliverHeldens
 Soundcloud: https://soundcloud.com/oliverheldens
 Beatport: http://btprt.dj/1ceYT2v
 Instagram: http://instagram.com/oliverheldens <a href=""https://www.last.fm/music/Oliver+Heldens"">Read more on Last.fm</a>",680618,9226988,"['Don Diablo', 'Hi-Lo', 'Tchami', 'Curbi', 'Mike Williams']"
Moca," <a href=""https://www.last.fm/music/Moca"">Read more on Last.fm</a>",79471,1050863,"['Meitz', 'Povo', 'Butti 49', 'Briskey', ""P'taah""]"
Reyko,"Reyko es un dúo musical español formado en 2015 en Londres, compuesto por la cantante Soleil y el productor Igor. <a href=""https://www.last.fm/music/Reyko"">Read more on Last.fm</a>",51792,515391,"['Kaleida', 'Tgc', 'The Tech Thieves', 'Eryn Martin', 'Bebe']"
La Fine Equipe," <a href=""https://www.last.fm/music/La+Fine+Equipe"">Read more on Last.fm</a>",127192,1271630,"['Chinese Man', 'Mr. Green', 'Souleance', 'Roger Molls', 'Sporto Kantès']"
ATFC," <a href=""https://www.last.fm/music/ATFC"">Read more on Last.fm</a>",149260,708908,"['Cavi', 'Dj Streaks', 'Wh0', 'Mark Knight', 'David Penn']"
